Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-C016;63.3;2025-12-28 00:14:08.56
BI-RUI-C018;66.60;2025-12-28 00:14:09.997
BI-RUI-P005;64.3;2025-12-28 00:14:18.123
BI-RUI-P013;73.2;2025-12-28 00:14:38.063
BI-RUI-023;67.10;2025-12-28 00:14:57.58
BI-RUI-017;76.714;2025-12-28 00:15:21.757
BI-RUI-019;66.030;2025-12-28 00:15:36.04
BI-RUI-004;71.806;2025-12-28 00:15:38.383
BI-RUI-006;83.715;2025-12-28 00:16:08.513
BI-RUI-001;71.237;2025-12-28 00:16:17.763
BI-RUI-007;64.538;2025-12-28 00:16:17.95
BI-RUI-C008;60.8;2025-12-28 00:16:53.113
BI-RUI-C020;76.30;2025-12-28 00:17:11.473
BI-RUI-P010;63.8;2025-12-28 00:17:46.417
BI-RUI-008;68.984;2025-12-28 00:18:37.14
BI-RUI-010;77.836;2025-12-28 00:18:44.72
BI-RUI-C025;40.60;2025-12-28 00:18:54.003
BI-RUI-P004;57.1;2025-12-28 00:19:17.663
BI-RUI-P006;69.7;2025-12-28 00:19:55.23
BI-RUI-BR15;68.00;2025-12-28 00:20:14.217
BI-RUI-P001;63.5;2025-12-28 00:20:24.843
BI-RUI-011;70.068;2025-12-28 00:21:00.503
BI-RUI-P003;57.0;2025-12-28 00:21:36.993
BI-RUI-C005;59.6;2025-12-28 00:22:33.733
BI-RUI-025;63.70;2025-12-28 00:22:34.39
BI-RUI-005;63.192;2025-12-28 00:22:36.407
BI-RUI-009;72.254;2025-12-28 00:22:42.64
BI-RUI-P012;67.5;2025-12-28 00:23:07.55
BI-RUI-P007;61.6;2025-12-28 00:23:33.477
BI-RUI-020;63.40;2025-12-28 00:23:40.087
BI-RUI-C006;67.0;2025-12-28 00:23:46.523
BI-RUI-P014;57.5;2025-12-28 00:24:15.403
BI-RUI-C025;43.50;2025-12-28 00:24:21.06
BI-RUI-C002;71.1;2025-12-28 00:24:29.047
BI-RUI-C009;78.2;2025-12-28 00:24:31.797
BI-RUI-C012;53.0;2025-12-28 00:25:19.303
BI-RUI-P011;64.8;2025-12-28 00:25:45.883
BI-RUI-BR8;56.30;2025-12-28 00:25:58.48
BI-RUI-C015;69.40;2025-12-28 00:26:14.903
BI-RUI-BR11;62.230;2025-12-28 00:26:25.327
BI-RUI-021;71.40;2025-12-28 00:26:41.813
BI-RUI-P002;30.9;2025-12-28 00:27:15.457
BI-RUI-P009;65.2;2025-12-28 00:27:31.053
BI-RUI-022;83.50;2025-12-28 00:27:34.693
BI-RUI-C011;56.10;2025-12-28 00:27:46.76
BI-RUI-C005;73.9;2025-12-28 00:28:15.153
BI-RUI-C003;55.60;2025-12-28 00:28:26.483
BI-RUI-C004;73.9;2025-12-28 00:28:51.47
BI-RUI-015;80.470;2025-12-28 00:28:58.237
BI-RUI-P005;65.0;2025-12-28 00:29:18.647
BI-RUI-C001;59.8;2025-12-28 00:29:21.91
BI-RUI-C016;59.2;2025-12-28 00:29:24.88
BI-RUI-C018;64.60;2025-12-28 00:29:28.74
BI-RUI-P013;65.2;2025-12-28 00:29:38.54
BI-RUI-C025;38.30;2025-12-28 00:29:48.4
BI-RUI-023;64.80;2025-12-28 00:30:15.56
BI-RUI-017;75.605;2025-12-28 00:30:20.793
BI-RUI-019;65.407;2025-12-28 00:30:25.89
BI-RUI-004;73.685;2025-12-28 00:30:46.843
BI-RUI-001;68.987;2025-12-28 00:31:17.957
BI-RUI-007;67.845;2025-12-28 00:31:25.99
BI-RUI-006;82.565;2025-12-28 00:31:28.82
BI-RUI-C008;62.5;2025-12-28 00:32:11.06
BI-RUI-C020;78.50;2025-12-28 00:32:29.17
BI-RUI-P010;62.2;2025-12-28 00:32:46.843
BI-RUI-008;68.148;2025-12-28 00:33:48.57
BI-RUI-010;76.371;2025-12-28 00:33:53.743
BI-RUI-P004;60.2;2025-12-28 00:34:18.247
BI-RUI-P006;67.8;2025-12-28 00:34:55.69
BI-RUI-C025;43.80;2025-12-28 00:35:15.037
BI-RUI-P001;62.9;2025-12-28 00:35:24.973
BI-RUI-BR15;69.20;2025-12-28 00:35:30.913
BI-RUI-011;70.212;2025-12-28 00:36:08.557
BI-RUI-P003;64.3;2025-12-28 00:36:37.437
BI-RUI-005;63.136;2025-12-28 00:37:37.287
BI-RUI-009;72.157;2025-12-28 00:37:44.29
BI-RUI-C005;59.2;2025-12-28 00:37:51.773
BI-RUI-025;63.30;2025-12-28 00:37:53.413
BI-RUI-P012;65.6;2025-12-28 00:38:07.933
BI-RUI-020;70.00;2025-12-28 00:38:47.86
BI-RUI-C006;67.7;2025-12-28 00:39:03.017
BI-RUI-C002;72.1;2025-12-28 00:39:36.053
BI-RUI-C009;79.6;2025-12-28 00:39:49.21
BI-RUI-C012;55.2;2025-12-28 00:40:25.87
BI-RUI-C025;40.60;2025-12-28 00:40:31.577
BI-RUI-P011;64.8;2025-12-28 00:40:46.453
BI-RUI-BR11;61.192;2025-12-28 00:41:17.707
BI-RUI-BR8;53.70;2025-12-28 00:41:26.63
BI-RUI-C015;69.70;2025-12-28 00:41:33.6
BI-RUI-021;75.90;2025-12-28 00:41:47.757
BI-RUI-P002;30.8;2025-12-28 00:42:15.887
BI-RUI-022;86.60;2025-12-28 00:42:47.0
BI-RUI-C011;56.80;2025-12-28 00:43:15.77
BI-RUI-C005;74.7;2025-12-28 00:43:22.347
BI-RUI-C003;55.60;2025-12-28 00:43:34.303
BI-RUI-015;79.999;2025-12-28 00:44:02.603
BI-RUI-C004;75.1;2025-12-28 00:44:02.773
BI-RUI-P005;64.0;2025-12-28 00:44:18.823
BI-RUI-C001;67.4;2025-12-28 00:44:38.827
BI-RUI-C016;59.4;2025-12-28 00:44:44.157
BI-RUI-C018;66.40;2025-12-28 00:44:44.56
BI-RUI-017;74.394;2025-12-28 00:45:21.94
BI-RUI-023;51.30;2025-12-28 00:45:22.55
BI-RUI-019;65.927;2025-12-28 00:45:41.38
BI-RUI-004;72.735;2025-12-28 00:45:43.6
BI-RUI-C025;44.10;2025-12-28 00:45:58.807
BI-RUI-007;61.851;2025-12-28 00:46:14.59
BI-RUI-001;69.555;2025-12-28 00:46:23.45
BI-RUI-C008;63.2;2025-12-28 00:47:27.723
BI-RUI-P010;63.5;2025-12-28 00:47:47.023
BI-RUI-C020;76.00;2025-12-28 00:47:55.21
BI-RUI-008;66.789;2025-12-28 00:48:33.043
BI-RUI-010;75.329;2025-12-28 00:49:00.5
BI-RUI-P006;68.3;2025-12-28 00:49:56.007
BI-RUI-P001;60.0;2025-12-28 00:50:25.357
BI-RUI-BR15;68.80;2025-12-28 00:50:47.28
BI-RUI-011;67.712;2025-12-28 00:50:57.517
BI-RUI-C025;38.40;2025-12-28 00:51:25.567
BI-RUI-P003;59.7;2025-12-28 00:51:37.863
BI-RUI-005;65.446;2025-12-28 00:52:43.81
BI-RUI-009;68.985;2025-12-28 00:52:44.577
BI-RUI-C005;58.1;2025-12-28 00:53:08.923
BI-RUI-025;64.30;2025-12-28 00:53:13.813
BI-RUI-P007;60.5;2025-12-28 00:53:33.583
BI-RUI-020;62.00;2025-12-28 00:54:05.103
BI-RUI-C006;67.3;2025-12-28 00:54:10.167
BI-RUI-P014;57.4;2025-12-28 00:54:16.493
BI-RUI-C002;74.4;2025-12-28 00:54:51.327
BI-RUI-C009;78.5;2025-12-28 00:54:56.28
BI-RUI-C012;58.7;2025-12-28 00:55:41.46
BI-RUI-P011;63.1;2025-12-28 00:55:46.99
BI-RUI-BR11;59.887;2025-12-28 00:56:18.587
BI-RUI-C025;42.80;2025-12-28 00:56:52.093
BI-RUI-BR8;55.60;2025-12-28 00:56:54.467
BI-RUI-021;69.50;2025-12-28 00:56:58.437
BI-RUI-C015;69.70;2025-12-28 00:57:08.5
BI-RUI-P002;30.7;2025-12-28 00:57:16.0
BI-RUI-P009;65.1;2025-12-28 00:57:31.69
BI-RUI-022;80.60;2025-12-28 00:58:03.617
BI-RUI-C005;73.6;2025-12-28 00:58:39.403
BI-RUI-C011;54.50;2025-12-28 00:58:45.59
BI-RUI-C003;54.80;2025-12-28 00:58:52.653
BI-RUI-015;79.725;2025-12-28 00:59:06.86
BI-RUI-C004;75.8;2025-12-28 00:59:18.72
BI-RUI-P013;66.1;2025-12-28 00:59:39.113
BI-RUI-C001;66.7;2025-12-28 00:59:53.1
BI-RUI-C018;67.20;2025-12-28 01:00:02.303
BI-RUI-C016;56.7;2025-12-28 01:00:04.163
BI-RUI-017;73.407;2025-12-28 01:00:18.057
BI-RUI-019;65.038;2025-12-28 01:00:22.62
BI-RUI-023;58.80;2025-12-28 01:01:49.85
BI-RUI-007;61.014;2025-12-28 01:01:49.85
BI-RUI-006;82.642;2025-12-28 01:01:49.85
BI-RUI-001;67.147;2025-12-28 01:01:49.85
BI-RUI-004;72.335;2025-12-28 01:01:49.85
BI-RUI-001;67.147;2025-12-28 01:01:49.863
BI-RUI-C025;41.50;2025-12-28 01:02:13.587
BI-RUI-023;44.20;2025-12-28 01:02:13.68
BI-RUI-C008;58.6;2025-12-28 01:02:45.327
BI-RUI-C020;76.80;2025-12-28 01:03:24.783
BI-RUI-008;70.022;2025-12-28 01:03:43.35
BI-RUI-010;73.536;2025-12-28 01:03:54.083
BI-RUI-P004;52.9;2025-12-28 01:04:19.32
BI-RUI-P001;50.7;2025-12-28 01:05:25.533
BI-RUI-011;67.793;2025-12-28 01:05:57.6
BI-RUI-BR15;68.80;2025-12-28 01:06:03.6
BI-RUI-005;64.299;2025-12-28 01:07:34.753
BI-RUI-009;69.250;2025-12-28 01:07:42.927
BI-RUI-C025;37.80;2025-12-28 01:07:43.05
BI-RUI-P012;64.2;2025-12-28 01:08:08.413
BI-RUI-C005;58.2;2025-12-28 01:08:28.167
BI-RUI-P007;59.0;2025-12-28 01:08:33.807
BI-RUI-025;65.70;2025-12-28 01:08:36.95
BI-RUI-P014;55.6;2025-12-28 01:09:16.923
BI-RUI-020;64.80;2025-12-28 01:09:22.11
BI-RUI-C006;68.4;2025-12-28 01:09:23.58
BI-RUI-C002;75.1;2025-12-28 01:10:02.977
BI-RUI-C009;78.8;2025-12-28 01:10:13.523
BI-RUI-P011;73.6;2025-12-28 01:10:47.42
BI-RUI-C012;63.2;2025-12-28 01:10:58.373
BI-RUI-BR11;57.661;2025-12-28 01:11:18.157
BI-RUI-021;77.90;2025-12-28 01:12:11.693
BI-RUI-P002;30.8;2025-12-28 01:12:16.477
BI-RUI-C015;68.10;2025-12-28 01:12:20.837
BI-RUI-P009;64.1;2025-12-28 01:12:31.713
BI-RUI-BR8;56.70;2025-12-28 01:12:36.37
BI-RUI-C025;41.00;2025-12-28 01:13:09.36
BI-RUI-022;84.70;2025-12-28 01:13:15.767
BI-RUI-C005;73.4;2025-12-28 01:13:55.943
BI-RUI-015;79.811;2025-12-28 01:14:07.977
BI-RUI-C011;58.10;2025-12-28 01:14:12.21
BI-RUI-C003;56.50;2025-12-28 01:14:12.46
BI-RUI-P005;64.6;2025-12-28 01:14:19.587
BI-RUI-C004;76.0;2025-12-28 01:14:36.447
BI-RUI-P013;65.3;2025-12-28 01:14:39.557
BI-RUI-C001;70.9;2025-12-28 01:15:15.873
BI-RUI-C018;69.30;2025-12-28 01:15:19.03
BI-RUI-C016;54.9;2025-12-28 01:15:21.39
BI-RUI-017;73.171;2025-12-28 01:15:23.83
BI-RUI-019;65.613;2025-12-28 01:15:23.94
BI-RUI-004;71.883;2025-12-28 01:15:40.55
BI-RUI-006;81.941;2025-12-28 01:16:08.897
BI-RUI-001;67.298;2025-12-28 01:16:16.383
BI-RUI-007;64.023;2025-12-28 01:16:25.353
BI-RUI-023;60.60;2025-12-28 01:17:29.563
BI-RUI-P010;61.8;2025-12-28 01:17:47.613
BI-RUI-C008;57.8;2025-12-28 01:18:01.817
BI-RUI-008;67.172;2025-12-28 01:18:33.01
BI-RUI-C025;40.30;2025-12-28 01:18:40.04
BI-RUI-010;72.219;2025-12-28 01:18:50.543
BI-RUI-C020;74.60;2025-12-28 01:18:51.167
BI-RUI-P004;55.9;2025-12-28 01:19:19.89
BI-RUI-P006;68.1;2025-12-28 01:19:56.503
BI-RUI-P001;57.9;2025-12-28 01:20:26.087
BI-RUI-011;64.201;2025-12-28 01:20:59.81
BI-RUI-BR15;67.50;2025-12-28 01:21:26.173
BI-RUI-P003;60.5;2025-12-28 01:21:38.673
BI-RUI-005;60.475;2025-12-28 01:22:37.18
BI-RUI-009;70.115;2025-12-28 01:22:52.887
BI-RUI-P012;64.0;2025-12-28 01:23:08.543
BI-RUI-P007;57.8;2025-12-28 01:23:34.377
BI-RUI-C005;61.5;2025-12-28 01:23:44.173
BI-RUI-025;65.20;2025-12-28 01:23:54.427
BI-RUI-C025;37.50;2025-12-28 01:24:10.82
BI-RUI-P014;56.8;2025-12-28 01:24:17.287
BI-RUI-020;63.60;2025-12-28 01:24:39.15
BI-RUI-C006;69.5;2025-12-28 01:24:48.917
BI-RUI-C002;74.9;2025-12-28 01:25:19.953
BI-RUI-C009;77.0;2025-12-28 01:25:30.483
BI-RUI-P011;60.8;2025-12-28 01:25:47.707
BI-RUI-C012;67.3;2025-12-28 01:26:05.113
BI-RUI-BR11;57.596;2025-12-28 01:26:16.083
BI-RUI-P002;30.7;2025-12-28 01:27:16.857
BI-RUI-021;69.10;2025-12-28 01:27:29.703
BI-RUI-P009;64.6;2025-12-28 01:27:31.86
BI-RUI-C015;66.00;2025-12-28 01:27:39.157
BI-RUI-BR8;53.10;2025-12-28 01:28:03.067
BI-RUI-022;78.90;2025-12-28 01:28:38.133
BI-RUI-C005;73.1;2025-12-28 01:29:03.043
BI-RUI-015;79.787;2025-12-28 01:29:05.263
BI-RUI-P005;67.3;2025-12-28 01:29:19.56
BI-RUI-C003;57.50;2025-12-28 01:29:35.453
BI-RUI-C025;43.10;2025-12-28 01:29:37.267
BI-RUI-C011;64.50;2025-12-28 01:29:38.47
BI-RUI-P013;63.5;2025-12-28 01:29:39.593
BI-RUI-C004;75.2;2025-12-28 01:29:43.86
BI-RUI-017;72.006;2025-12-28 01:30:21.443
BI-RUI-019;64.494;2025-12-28 01:30:26.18
BI-RUI-C001;67.4;2025-12-28 01:30:34.853
BI-RUI-C018;63.90;2025-12-28 01:30:35.4
BI-RUI-C016;51.6;2025-12-28 01:30:38.26
BI-RUI-004;70.213;2025-12-28 01:30:40.697
BI-RUI-006;80.749;2025-12-28 01:30:54.463
BI-RUI-001;68.035;2025-12-28 01:31:26.767
BI-RUI-007;60.872;2025-12-28 01:31:34.377
BI-RUI-023;59.50;2025-12-28 01:32:46.93
BI-RUI-P010;66.2;2025-12-28 01:32:47.93
BI-RUI-C008;58.9;2025-12-28 01:33:12.433
BI-RUI-008;69.001;2025-12-28 01:33:42.627
BI-RUI-010;72.803;2025-12-28 01:33:55.237
BI-RUI-C020;73.10;2025-12-28 01:34:16.96
BI-RUI-P004;52.4;2025-12-28 01:34:20.46
BI-RUI-P006;66.9;2025-12-28 01:34:56.667
BI-RUI-C025;37.00;2025-12-28 01:34:56.963
BI-RUI-P001;53.8;2025-12-28 01:35:26.657
BI-RUI-011;57.717;2025-12-28 01:36:00.223
BI-RUI-P003;59.3;2025-12-28 01:36:39.117
BI-RUI-BR15;65.40;2025-12-28 01:36:48.73
BI-RUI-005;59.196;2025-12-28 01:37:33.0
BI-RUI-009;63.298;2025-12-28 01:37:43.22
BI-RUI-P012;63.2;2025-12-28 01:38:08.893
BI-RUI-C005;56.3;2025-12-28 01:38:51.93
BI-RUI-025;63.50;2025-12-28 01:39:17.34
BI-RUI-020;57.30;2025-12-28 01:39:55.847
BI-RUI-C006;64.5;2025-12-28 01:40:05.58
BI-RUI-C025;40.30;2025-12-28 01:40:14.083
BI-RUI-C002;74.8;2025-12-28 01:40:36.663
BI-RUI-C009;73.0;2025-12-28 01:40:39.803
BI-RUI-P011;64.6;2025-12-28 01:40:48.213
BI-RUI-C012;63.2;2025-12-28 01:41:22.34
BI-RUI-BR11;58.017;2025-12-28 01:41:25.92
BI-RUI-P002;30.8;2025-12-28 01:42:16.833
BI-RUI-021;66.30;2025-12-28 01:42:45.383
BI-RUI-C015;66.10;2025-12-28 01:42:59.48
BI-RUI-BR8;54.60;2025-12-28 01:43:32.06
BI-RUI-022;74.70;2025-12-28 01:44:00.86
BI-RUI-015;79.135;2025-12-28 01:44:03.753
BI-RUI-C005;70.9;2025-12-28 01:44:18.473
BI-RUI-P005;63.5;2025-12-28 01:44:19.943
BI-RUI-C011;52.10;2025-12-28 01:44:57.62
BI-RUI-C003;52.00;2025-12-28 01:44:58.26
BI-RUI-C004;74.7;2025-12-28 01:45:02.963
BI-RUI-017;71.987;2025-12-28 01:45:20.59
BI-RUI-019;62.954;2025-12-28 01:45:34.733
BI-RUI-C025;40.60;2025-12-28 01:45:40.5
BI-RUI-004;70.610;2025-12-28 01:45:45.89
BI-RUI-C018;62.60;2025-12-28 01:45:51.72
BI-RUI-C001;67.0;2025-12-28 01:45:53.923
BI-RUI-C016;50.4;2025-12-28 01:45:54.267
BI-RUI-001;69.516;2025-12-28 01:46:18.6
BI-RUI-006;80.064;2025-12-28 01:46:20.52
BI-RUI-007;57.749;2025-12-28 01:46:25.113
BI-RUI-P010;61.2;2025-12-28 01:47:48.233
BI-RUI-023;51.70;2025-12-28 01:48:03.643
BI-RUI-C008;53.9;2025-12-28 01:48:23.88
BI-RUI-008;69.694;2025-12-28 01:48:34.083
BI-RUI-010;76.048;2025-12-28 01:48:58.087
BI-RUI-C020;72.40;2025-12-28 01:49:48.593
BI-RUI-P006;68.8;2025-12-28 01:49:56.813
BI-RUI-P001;50.4;2025-12-28 01:50:26.817
BI-RUI-C025;41.20;2025-12-28 01:51:06.603
BI-RUI-011;54.676;2025-12-28 01:51:07.683
BI-RUI-P003;59.6;2025-12-28 01:51:39.56
BI-RUI-BR15;67.80;2025-12-28 01:52:11.567
BI-RUI-005;68.534;2025-12-28 01:52:37.27
BI-RUI-009;67.572;2025-12-28 01:52:50.15
BI-RUI-P007;58.7;2025-12-28 01:53:34.67
BI-RUI-C005;54.3;2025-12-28 01:54:10.673
BI-RUI-P014;55.9;2025-12-28 01:54:18.533
BI-RUI-025;64.30;2025-12-28 01:54:29.66
BI-RUI-020;60.90;2025-12-28 01:55:14.057
BI-RUI-C006;63.0;2025-12-28 01:55:23.747
BI-RUI-P011;67.3;2025-12-28 01:55:48.42
BI-RUI-C002;74.4;2025-12-28 01:55:53.483
BI-RUI-C009;69.8;2025-12-28 01:55:56.923
BI-RUI-BR11;61.651;2025-12-28 01:56:27.88
BI-RUI-C025;38.90;2025-12-28 01:56:35.333
BI-RUI-C012;62.3;2025-12-28 01:56:38.52
BI-RUI-P002;30.7;2025-12-28 01:57:17.09
BI-RUI-P009;63.1;2025-12-28 01:57:32.513
BI-RUI-021;62.10;2025-12-28 01:57:55.767
BI-RUI-C015;65.40;2025-12-28 01:58:22.113
BI-RUI-BR8;51.70;2025-12-28 01:58:49.43
BI-RUI-015;78.984;2025-12-28 01:59:07.197
BI-RUI-022;74.50;2025-12-28 01:59:23.45
BI-RUI-C005;65.7;2025-12-28 01:59:24.637
BI-RUI-P013;65.8;2025-12-28 01:59:40.42
BI-RUI-C004;74.4;2025-12-28 02:00:10.377
BI-RUI-C003;51.20;2025-12-28 02:00:14.86
BI-RUI-C011;54.60;2025-12-28 02:00:47.63
BI-RUI-019;63.954;2025-12-28 02:00:47.63
BI-RUI-017;70.621;2025-12-28 02:00:47.63
BI-RUI-004;70.366;2025-12-28 02:00:47.63
BI-RUI-017;70.621;2025-12-28 02:01:08.37
BI-RUI-C016;50.4;2025-12-28 02:01:08.37
BI-RUI-C018;63.20;2025-12-28 02:01:08.37
BI-RUI-C001;67.7;2025-12-28 02:01:11.463
BI-RUI-001;67.917;2025-12-28 02:01:14.65
BI-RUI-007;56.448;2025-12-28 02:01:15.277
BI-RUI-C011;52.10;2025-12-28 02:01:50.983
BI-RUI-C025;37.40;2025-12-28 02:02:01.86
BI-RUI-C018;61.70;2025-12-28 02:02:31.503
BI-RUI-023;54.80;2025-12-28 02:03:10.947
BI-RUI-C008;51.9;2025-12-28 02:03:34.183
BI-RUI-008;62.593;2025-12-28 02:03:44.56
BI-RUI-010;75.719;2025-12-28 02:03:48.047
BI-RUI-P004;48.1;2025-12-28 02:04:21.52
BI-RUI-C020;71.40;2025-12-28 02:05:14.87
BI-RUI-P001;47.5;2025-12-28 02:05:26.95
BI-RUI-011;57.984;2025-12-28 02:05:56.953
BI-RUI-BR15;66.00;2025-12-28 02:07:23.4
BI-RUI-C025;39.10;2025-12-28 02:07:27.73
BI-RUI-005;63.246;2025-12-28 02:07:35.98
BI-RUI-009;66.378;2025-12-28 02:07:41.64
BI-RUI-P012;60.7;2025-12-28 02:08:09.563
BI-RUI-P007;56.7;2025-12-28 02:08:34.973
BI-RUI-P014;52.9;2025-12-28 02:09:18.823
BI-RUI-025;63.90;2025-12-28 02:09:49.343
BI-RUI-C005;54.5;2025-12-28 02:09:58.577
BI-RUI-020;63.20;2025-12-28 02:10:30.283
BI-RUI-C006;63.8;2025-12-28 02:10:39.207
BI-RUI-P011;60.7;2025-12-28 02:10:48.63
BI-RUI-BR11;60.578;2025-12-28 02:11:10.18
BI-RUI-C002;75.0;2025-12-28 02:11:11.37
BI-RUI-C009;65.7;2025-12-28 02:11:14.727
BI-RUI-C012;60.4;2025-12-28 02:11:54.75
BI-RUI-P002;30.7;2025-12-28 02:12:17.097
BI-RUI-P009;61.0;2025-12-28 02:12:32.643
BI-RUI-C025;37.30;2025-12-28 02:12:55.773
BI-RUI-021;58.30;2025-12-28 02:13:03.977
BI-RUI-C015;66.60;2025-12-28 02:13:42.53
BI-RUI-015;74.486;2025-12-28 02:14:01.97
BI-RUI-BR8;51.60;2025-12-28 02:14:19.72
BI-RUI-P005;62.6;2025-12-28 02:14:20.44
BI-RUI-C005;61.0;2025-12-28 02:14:32.02
BI-RUI-P013;64.8;2025-12-28 02:14:40.753
BI-RUI-022;69.50;2025-12-28 02:14:45.833
BI-RUI-017;70.461;2025-12-28 02:15:21.527
BI-RUI-C004;74.7;2025-12-28 02:15:30.887
BI-RUI-C003;50.90;2025-12-28 02:15:31.293
BI-RUI-019;62.794;2025-12-28 02:15:36.433
BI-RUI-004;69.395;2025-12-28 02:15:41.823
BI-RUI-006;81.514;2025-12-28 02:16:07.437
BI-RUI-001;66.148;2025-12-28 02:16:16.813
BI-RUI-007;56.868;2025-12-28 02:16:25.033
BI-RUI-C001;71.5;2025-12-28 02:16:33.223
BI-RUI-C011;50.70;2025-12-28 02:17:24.027
BI-RUI-C016;51.1;2025-12-28 02:17:47.98
BI-RUI-P010;58.5;2025-12-28 02:17:48.717
BI-RUI-C018;68.90;2025-12-28 02:17:54.17
BI-RUI-C025;38.10;2025-12-28 02:18:23.41
BI-RUI-023;50.90;2025-12-28 02:18:29.673
BI-RUI-008;67.528;2025-12-28 02:18:33.033
BI-RUI-C008;52.2;2025-12-28 02:18:51.02
BI-RUI-010;69.287;2025-12-28 02:18:59.443
BI-RUI-P004;55.8;2025-12-28 02:19:22.103
BI-RUI-P006;64.1;2025-12-28 02:19:57.78
BI-RUI-P001;46.3;2025-12-28 02:20:27.267
BI-RUI-C020;71.10;2025-12-28 02:20:47.91
BI-RUI-011;56.148;2025-12-28 02:21:01.117
BI-RUI-P003;53.0;2025-12-28 02:21:40.37
BI-RUI-BR15;64.60;2025-12-28 02:22:43.037
BI-RUI-009;60.537;2025-12-28 02:22:46.66
BI-RUI-005;63.643;2025-12-28 02:22:50.863
BI-RUI-P012;59.0;2025-12-28 02:23:10.04
BI-RUI-P007;57.4;2025-12-28 02:23:35.277
BI-RUI-C025;38.20;2025-12-28 02:23:50.31
BI-RUI-P014;54.0;2025-12-28 02:24:19.157
BI-RUI-025;62.60;2025-12-28 02:25:06.523
BI-RUI-C005;52.8;2025-12-28 02:25:15.197
BI-RUI-020;65.80;2025-12-28 02:25:48.247
BI-RUI-P011;62.7;2025-12-28 02:25:48.967
BI-RUI-C006;62.0;2025-12-28 02:25:56.183
BI-RUI-BR11;55.239;2025-12-28 02:26:21.017
BI-RUI-C009;56.3;2025-12-28 02:26:21.97
BI-RUI-C002;74.9;2025-12-28 02:26:31.893
BI-RUI-C012;58.6;2025-12-28 02:27:06.727
BI-RUI-P002;30.7;2025-12-28 02:27:17.507
BI-RUI-P009;63.3;2025-12-28 02:27:32.917
BI-RUI-021;64.80;2025-12-28 02:28:20.483
BI-RUI-C015;68.20;2025-12-28 02:28:59.63
BI-RUI-015;73.084;2025-12-28 02:29:00.083
BI-RUI-C025;37.50;2025-12-28 02:29:11.74
BI-RUI-P005;63.9;2025-12-28 02:29:20.477
BI-RUI-P013;65.2;2025-12-28 02:29:40.917
BI-RUI-BR8;50.30;2025-12-28 02:29:47.417
BI-RUI-C005;65.9;2025-12-28 02:29:48.23
BI-RUI-022;73.50;2025-12-28 02:30:03.263
BI-RUI-017;70.675;2025-12-28 02:30:17.67
BI-RUI-019;62.640;2025-12-28 02:30:36.377
BI-RUI-004;67.919;2025-12-28 02:30:40.033
BI-RUI-C004;74.4;2025-12-28 02:30:59.257
